Id,Code,Description,Service,Workset,Wall,Structural,Bearing
22587659,GF.WL.288,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
22588366,GF.WL.274,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
22588478,GF.WL.275,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
22588547,GF.WL.278,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
22588589,GF.WL.280,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BF,No,Non-bearing
22589936,GF.WL.272,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22590436,GF.WL.305,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BA,No,Non-bearing
22590547,GF.WL.303,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
22590631,GF.WL.189,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_reinforced_S4BE,No,Non-bearing
22590657,GF.WL.187,Gypsum Board,Piping,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_reinforced_S4BE,No,Non-bearing
22592983,GF.WL.271,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22593156,GF.WL.245,Gypsum Board,Piping,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22593164,GF.WL.240,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22594660,GF.WL.191,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
22594670,GF.WL.192,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4BB,No,Non-bearing
22600887,GF.WL.273,Gypsum Board,Drainage Condensate,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_wet area_S4BG,No,Non-bearing
22600975,GF.WL.200,Gypsum Board,Piping,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
22601040,GF.WL.199,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
22601049,,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
22601059,GF.WL.201,Gypsum Board,Cable Containment,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100-NN-bulkhead_S4AC,No,Non-bearing
22602787,GF.WL.284,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4CA,No,Non-bearing
22603345,GF.WL.282,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4CA,No,Non-bearing
22603549,GF.WL.225,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4CA,No,Non-bearing
22603978,GF.WL.224,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_S4CA,No,Non-bearing
22605817,GF.WL.250,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22605838,GF.WL.252,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22605884,GF.WL.251,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22606245,GF.WL.261,Gypsum Board,Duct,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22606337,GF.WL.254,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22606453,GF.WL.255,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22606502,GF.WL.257,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22606578,,Gypsum Board,Piping,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22606613,GF.WL.256,Gypsum Board,Plumbing Water,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22606649,GF.WL.258,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22607590,GF.WL.263,Gypsum Board,Fire,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22607600,GF.WL.265,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22607628,GF.WL.266,Gypsum Board,Drainage Condensate,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22608085,GF.WL.269,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22608215,GF.WL.267,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22608319,GF.WL.268,Gypsum Board,Drainage Sewage,BIMMS_OPEs_Gypsum,22_RHD_Int gypsum wall GYP NN-CW100_F2AB,No,Non-bearing
22699245,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22699360,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22699439,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22701630,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22702286,,PLASTBOARD,Cable Containment,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
22702777,,,,BIMMS_OPE'S_WORKSHEET,22_RHD_Int gypsum wall GYP NN-CW150-NN_NA_F90A_S4BC,No,Non-bearing
